For Mayor CITY OF JERSEY CITY ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JOYCE E. WATTERMAN,,,,,,MUSSAB ALI,,,,,,KALKI JAYNE-ROSE,,,,,,JIM McGREEVEY,,,,,,BILL O'DEA,,,,,,JAMES SOLOMON,,,,,,CHRISTINA L. FREEMAN,,,,,,Write-In Vote,,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Total
Jersey City Ward F District 16,952,9,5,3,1,0,18,62,12,4,3,1,82,2,0,0,0,0,2,56,15,9,5,0,85,44,19,5,4,0,72,61,19,12,2,0,94,9,1,1,0,0,11,2,0,0,0,0,2,366
Jersey City Ward F District 17,1177,16,3,4,0,0,23,65,18,9,1,0,93,2,0,0,0,0,2,50,25,15,4,0,94,61,11,11,5,0,88,66,12,14,2,0,94,8,1,2,1,0,12,1,1,0,0,0,2,408
Jersey City Ward F District 18,892,10,3,0,0,0,13,50,8,2,5,0,65,0,0,0,0,0,0,35,12,8,3,0,58,27,12,6,3,0,48,22,6,6,1,0,35,7,1,0,1,0,9,0,0,0,0,0,0,228
Jersey City Ward F District 19,1026,11,2,2,3,0,18,66,11,7,4,0,88,0,0,0,0,0,0,94,11,6,0,0,111,82,24,14,2,0,122,59,8,10,0,0,77,9,0,0,0,0,9,0,0,0,0,0,0,425
Jersey City Ward F District 20,671,4,2,3,0,0,9,46,15,4,0,0,65,0,0,0,0,0,0,23,9,12,1,0,45,35,11,8,0,0,54,43,15,8,0,0,66,6,0,0,0,0,6,0,0,0,0,0,0,245
Jersey City Ward F District 21,879,11,0,1,0,0,12,24,0,4,3,0,31,1,0,0,0,0,1,53,14,16,2,0,85,82,13,7,5,0,107,33,3,1,1,0,38,2,1,1,1,0,5,1,0,0,0,0,1,280
Jersey City Ward F District 22,1249,10,3,0,0,0,13,52,20,7,0,0,79,0,0,0,0,0,0,44,26,16,2,0,88,53,16,8,1,0,78,146,97,37,1,2,283,3,0,2,0,0,5,3,0,1,0,0,4,550
Jersey City Ward F District 23,662,5,1,0,0,0,6,17,13,2,2,0,34,0,0,0,0,0,0,22,16,8,1,0,47,17,7,10,1,0,35,72,62,39,1,1,175,1,0,0,0,0,1,0,0,0,0,0,0,298
Jersey City Ward F District 24,1113,8,1,3,0,0,12,28,15,5,0,0,48,0,0,0,0,0,0,53,22,15,0,0,90,45,21,12,2,0,80,109,73,49,5,0,236,5,0,1,0,0,6,0,1,0,0,0,1,473
Jersey City Ward F District 25,1045,3,0,1,0,0,4,19,18,4,0,0,41,0,0,0,0,0,0,35,26,18,1,0,80,14,22,9,0,0,45,108,98,55,2,1,264,0,0,0,0,0,0,0,0,0,0,0,0,434
