For Mayor CITY OF JERSEY CITY ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JOYCE E. WATTERMAN,,,,,,MUSSAB ALI,,,,,,KALKI JAYNE-ROSE,,,,,,JIM McGREEVEY,,,,,,BILL O'DEA,,,,,,JAMES SOLOMON,,,,,,CHRISTINA L. FREEMAN,,,,,,Write-In Vote,,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Total
Jersey City Ward A District 29,887,13,5,4,0,0,22,25,11,2,1,0,39,1,0,0,0,0,1,49,16,26,6,0,97,52,26,17,1,0,96,19,10,5,0,0,34,8,2,2,0,0,12,0,0,0,0,0,0,301
Jersey City Ward A District 30,1274,13,1,2,1,0,17,51,5,9,1,0,66,2,0,0,0,0,2,138,23,35,4,1,201,83,10,17,4,0,114,104,19,23,3,0,149,5,0,2,0,0,7,2,0,0,0,0,2,558
Jersey City Ward A District 31,1027,12,3,3,0,0,18,34,15,7,1,0,57,0,0,0,0,0,0,73,20,12,2,0,107,71,18,11,0,0,100,86,34,27,2,0,149,2,2,1,0,0,5,0,0,0,0,0,0,436
Jersey City Ward A District 32,1802,18,7,2,1,0,28,85,50,10,2,0,147,0,0,0,0,0,0,69,41,11,0,0,121,64,48,12,3,0,127,151,82,38,3,0,274,9,3,0,1,0,13,2,0,0,0,0,2,712
Jersey City Ward A District 33,958,8,4,2,0,0,14,45,21,6,0,0,72,0,0,0,0,0,0,56,27,11,3,0,97,60,22,8,2,0,92,45,17,18,1,0,81,7,0,0,0,0,7,0,0,0,0,0,0,363
Jersey City Ward A District 34,872,8,4,0,0,0,12,36,9,1,1,0,47,0,0,0,0,0,0,51,18,16,2,0,87,52,17,4,1,0,74,54,18,8,2,0,82,5,0,0,1,0,6,0,0,1,0,0,1,309
Jersey City Ward B District 1,944,9,5,2,0,0,16,41,22,2,0,0,65,0,0,0,0,0,0,36,47,12,3,0,98,46,38,15,5,1,105,23,19,4,0,0,46,0,1,0,0,0,1,3,0,0,0,0,3,334
Jersey City Ward B District 2,1378,6,3,1,1,0,11,79,31,7,5,0,122,0,1,0,0,0,1,89,45,17,2,0,153,88,50,12,3,0,153,32,20,10,2,0,64,5,0,0,0,0,5,0,1,0,0,0,1,510
Jersey City Ward B District 3,805,7,1,2,0,0,10,35,9,5,1,0,50,0,0,0,0,0,0,49,11,11,1,0,72,53,24,13,5,0,95,24,16,6,2,0,48,1,0,0,1,0,2,0,0,0,0,0,0,277
Jersey City Ward B District 4,1320,10,4,2,0,0,16,55,13,7,1,1,77,1,0,0,0,0,1,96,28,24,6,0,154,61,23,15,2,0,101,38,13,5,4,0,60,5,0,0,0,0,5,3,1,0,0,0,4,418
Jersey City Ward B District 5,867,6,2,1,0,0,9,24,10,6,4,0,44,0,0,0,0,0,0,122,32,33,1,0,188,109,34,34,1,0,178,27,8,7,2,0,44,5,0,0,0,0,5,0,0,0,0,0,0,468
Jersey City Ward B District 6,1252,10,4,1,0,0,15,69,21,5,4,0,99,0,0,0,0,0,0,54,15,13,1,0,83,109,35,17,5,0,166,52,21,13,1,0,87,8,2,2,0,0,12,1,0,0,0,0,1,463
Jersey City Ward B District 7,907,13,4,1,1,0,19,47,17,0,0,0,64,1,0,0,0,0,1,27,18,8,0,0,53,59,19,3,0,0,81,22,5,2,0,0,29,4,1,1,0,0,6,1,0,0,0,0,1,254
Jersey City Ward B District 8,899,12,4,3,0,0,19,47,12,3,2,0,64,0,0,0,0,0,0,51,20,10,3,0,84,64,32,13,3,0,112,35,6,5,1,0,47,4,2,0,0,0,6,2,0,0,1,0,3,335
Jersey City Ward B District 9,1001,9,5,5,1,0,20,40,8,4,11,0,63,1,1,0,0,0,2,49,19,15,10,0,93,86,36,20,10,1,153,28,15,4,5,0,52,5,1,1,1,0,8,1,0,0,0,0,1,392
Jersey City Ward B District 10,988,10,7,2,0,0,19,59,16,4,0,0,79,0,0,0,0,0,0,44,30,9,1,0,84,51,37,13,1,0,102,19,4,2,0,0,25,2,0,2,0,0,4,1,0,0,0,0,1,314
Jersey City Ward B District 11,713,12,2,1,0,0,15,20,12,3,0,0,35,0,0,0,0,0,0,31,16,6,0,0,53,33,11,8,0,0,52,14,2,4,1,0,21,3,4,0,0,0,7,0,0,0,0,0,0,183
Jersey City Ward B District 12,1421,23,9,1,0,0,33,87,22,8,1,0,118,1,0,0,0,0,1,56,28,17,0,0,101,74,65,28,2,0,169,47,23,7,0,0,77,6,1,0,0,0,7,1,0,0,0,0,1,507
Jersey City Ward B District 13,892,8,2,1,1,0,12,39,15,2,2,0,58,0,0,0,0,0,0,41,26,10,3,0,80,59,28,12,0,0,99,16,15,8,1,0,40,1,1,0,0,0,2,1,0,0,0,0,1,292
Jersey City Ward B District 14,986,7,3,2,1,0,13,45,20,7,1,0,73,0,1,0,0,0,1,40,27,18,3,0,88,40,48,19,5,0,112,17,3,6,1,0,27,4,1,0,0,0,5,2,1,0,0,0,3,322
Jersey City Ward B District 15,990,5,2,0,1,0,8,48,16,9,5,0,78,1,0,0,0,0,1,40,27,12,1,0,80,69,42,14,9,0,134,29,15,4,3,0,51,3,1,0,0,0,4,0,0,0,0,0,0,356
Jersey City Ward B District 16,939,8,5,1,0,0,14,38,21,6,0,0,65,0,0,0,0,0,0,39,26,13,1,0,79,44,47,14,1,0,106,14,15,5,0,0,34,4,6,0,0,0,10,0,0,0,0,0,0,308
Jersey City Ward B District 17,832,3,3,1,0,0,7,38,18,4,3,0,63,2,0,0,0,0,2,32,26,16,4,0,78,65,50,18,0,0,133,15,4,4,0,0,23,0,0,0,0,0,0,0,1,1,0,0,2,308
Jersey City Ward B District 18,802,5,0,3,0,0,8,27,30,9,0,0,66,1,0,0,0,0,1,34,41,7,1,0,83,42,48,7,1,0,98,16,10,4,0,0,30,2,1,0,0,0,3,0,0,0,0,0,0,289
Jersey City Ward B District 19,797,7,4,0,1,0,12,40,35,7,0,0,82,0,0,0,0,0,0,13,26,9,1,0,49,44,62,28,1,0,135,13,42,16,3,0,74,1,0,0,1,0,2,0,0,0,0,0,0,354
Jersey City Ward B District 20,759,14,0,2,1,0,17,49,20,4,1,0,74,2,0,0,0,0,2,40,10,4,1,0,55,48,22,12,2,0,84,31,11,2,0,0,44,2,1,0,0,0,3,1,0,0,0,0,1,280
Jersey City Ward B District 21,1344,12,4,0,0,0,16,95,26,0,4,0,125,2,1,1,0,0,4,53,33,7,1,0,94,91,44,12,5,0,152,34,14,4,1,0,53,6,2,0,0,0,8,0,0,0,0,0,0,452
Jersey City Ward B District 22,697,4,2,0,0,0,6,57,21,2,0,0,80,1,0,0,0,0,1,31,11,7,0,0,49,43,31,4,0,0,78,19,13,4,0,0,36,1,0,0,0,0,1,0,0,0,0,0,0,251
Jersey City Ward B District 23,1094,7,5,3,1,0,16,72,27,4,6,0,109,0,1,0,0,0,1,31,21,11,3,0,66,78,32,18,4,0,132,57,27,9,4,0,97,4,0,0,0,0,4,0,0,0,0,0,0,425
Jersey City Ward B District 24,802,12,3,0,0,0,15,48,7,3,0,0,58,2,0,0,0,0,2,27,7,9,2,0,45,42,26,20,3,0,91,36,16,3,0,0,55,3,0,1,0,0,4,0,0,0,0,0,0,270
Jersey City Ward B District 25,593,3,2,1,0,0,6,46,8,3,1,0,58,1,0,0,0,0,1,43,14,5,1,0,63,49,6,1,2,0,58,21,7,4,0,0,32,2,1,0,0,0,3,0,0,0,0,0,0,221
Jersey City Ward B District 26,923,8,1,3,1,0,13,48,13,11,1,0,73,0,0,0,0,0,0,52,13,12,0,0,77,89,20,16,2,0,127,40,15,12,3,0,70,10,0,1,0,0,11,0,0,0,0,0,0,371
Jersey City Ward B District 27,933,6,3,1,1,0,11,50,12,9,5,0,76,0,0,0,0,0,0,28,27,17,12,0,84,58,34,17,6,0,115,27,20,18,2,0,67,6,1,0,0,0,7,0,0,0,0,0,0,360
Jersey City Ward B District 28,792,6,1,3,0,0,10,61,16,6,0,0,83,0,0,0,0,0,0,29,10,11,0,0,50,51,14,13,0,0,78,45,21,7,1,0,74,6,1,1,0,0,8,0,0,0,0,0,0,303
Jersey City Ward B District 29,366,1,1,0,0,0,2,7,4,0,0,1,12,0,0,0,0,0,0,12,2,4,0,0,18,18,2,7,1,0,28,20,8,7,0,0,35,2,0,0,0,0,2,0,0,0,0,0,0,97
Jersey City Ward B District 30,360,4,3,0,1,0,8,20,1,3,2,0,26,2,0,0,0,0,2,15,5,4,4,0,28,15,5,3,1,0,24,14,3,1,3,0,21,5,0,0,0,0,5,0,1,0,0,0,1,115
Jersey City Ward B District 31,1133,20,1,2,0,0,23,68,22,9,1,0,100,2,0,0,0,0,2,43,16,11,1,0,71,50,18,12,0,0,80,38,24,9,0,0,71,7,3,0,0,0,10,0,0,0,0,0,0,357
Jersey City Ward B District 32A,103,4,0,1,0,0,5,6,0,0,1,0,7,0,0,0,0,0,0,7,2,6,0,0,15,2,1,3,0,0,6,8,1,1,0,0,10,1,1,0,0,0,2,0,0,0,0,0,0,45
Jersey City Ward B District 32B,991,11,5,1,0,0,17,36,9,4,4,0,53,2,0,1,0,0,3,35,3,9,3,0,50,25,11,4,1,0,41,50,19,18,7,0,94,2,0,1,0,0,3,0,0,0,0,0,0,261
Jersey City Ward B District 33A,71,1,0,0,0,0,1,6,1,2,1,0,10,0,0,0,0,0,0,2,1,0,0,0,3,5,0,1,1,0,7,11,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,34
Jersey City Ward B District 33B,370,4,0,0,0,0,4,9,7,2,0,0,18,0,0,0,0,0,0,15,2,5,1,0,23,12,4,5,0,0,21,10,9,2,0,0,21,4,0,0,0,0,4,0,0,1,0,0,1,92
